"sentence","event_type"
"The team of Johnny Smith, Jim Steele and George Hines defeated Mike Rotunda, Curt Hennig and Barry Windham (substituting for an injured Kendall Windham).","Injury"
"Certain sources mistakenly identify the Kozara Offensive as part of Operation Trio.","Investigation"
"Since Indian law does not allow the press to publish a rape victim's name, the victim has become widely known as ""Nirbhaya"", meaning ""fearless"", and her struggle and death have become a symbol of women's resistance to rape in the world.","Injury"
"Torrential rainfall in Sofia blocked traffic in several areas of the city.","Disaster"
"The Soviet troops broke through the 6th Army's lines, capturing Apostolovo on 5 February, splitting the army in half.","Disaster"
"There were 245 Kenyans in Uganda killed and 3,000 fled.","Injury"
"Over the next couple of days the system gradually developed further, before it was classified as a tropical cyclone and named Wasa during December 5.","Investigation"
"The violence in the city lasted from 9 October 1740 until 22 October, with minor skirmishes outside the walls continuing late into November that year.","Attack"
"The hurricane continued to intensify, and reached peak intensity as a Category 2 hurricane with maximum sustained winds of 110 mph (175 km/h) and a minimum barometric pressure of 961 mbar (hPa; 28.38 inHg), though these statistical peaks were achieved at different times on September 2.","Disaster"
"The first quake struck at 07:45 China Standard Time with the epicenter located at the border of Min County and Zhang County.","Attack"
"The Battle of Roncevaux Pass (French and English spelling, ""Roncesvalles"" in Spanish, ""Orreaga"" in Basque) in 778 saw a large force of Basques ambush a part of Charlemagne's army in Roncevaux Pass, a high mountain pass in the Pyrenees on the present border between France and Spain, after his invasion of the Iberian Peninsula.","Attack"
"He decided to attack them at night, in a surprise nocturnal action.","Attack"
"A subsequent inquiry by Scotland Yard proved inconclusive, and, in 1993, they decided against proceeding with an investigation.","Investigation"
"The Eastern Front, as the site of nearly all extermination camps, death marches, ghettos, and the majority of pogroms, was central to the Holocaust.","Injury"
"The seriously injured victim has since been declared permanently paralyzed.","Injury"
"It began as a nod to the Capital's expanding cityscape, populated by young families with links across the globe, and blossomed throughout the 1990s and early 2000s to an event reflecting the more than 170 unique nationalities that comprise our population.","None"
"Widespread looting, assault, arson, and murder occurred during the riots, and estimates of property damage were over $1 billion.","Attack"
"Following this line of investigation may have delayed the capture of Hussam al-Qarasme, who was only arrested on 10 July.","Investigation"
"After raiding the shipping at Banda Aceh on 1 September the squadron sailed eastwards to attack Penang.","Attack"
"Teams from New Zealand, Australia, England, India, Ireland, South Africa, Sri Lanka and West Indies played each other once in a round robin format to determine the semifinalists.","None"
"The earthquake triggered powerful tsunami waves that may have reached heights of up to in Miyako in Tōhoku's Iwate Prefecture, and which, in the Sendai area, traveled at for up to inland.","Disaster"
"That war resulted in a defined boundary between the Indians and colonial lands that could only be crossed for official business with a special pass.","Attack"
"There was speculation that the truck was actually on the runway and not outside on the road, but was subsequently clarified in the Lok Sabha.","Investigation"
"Out of 69 passengers and crew, 24 were killed.","Injury"
"The Mumbai Marathon (known as the Tata Mumbai Marathon for sponsorship reasons by Tata Consultancy Services (TCS)), is an annual international marathon held in Mumbai, India, on the third Sunday of January every year.","Protest"
"The storm dropped heavy rainfall along its path, peaking at over 40 inches (1,000 mm) in Texas.","None"
"The failure of the Nivelle strategy and the high number of French casualties led to mutinies and the dismissal of Nivelle, his replacement by Pétain and the adoption of a defensive strategy by the French, while their armies recuperated and were rearmed.","None"
"The public's reaction to Selena's death was compared to those that followed the deaths of John Lennon, Kurt Cobain, and John F. Kennedy.","Injury"
"On 16 December 1929, New South Wales Police drew their revolvers and shot into a crowd of locked-out miners in the New South Wales town of Rothbury in Australia, killing a 29-year-old miner, Norman Brown, and injuring approximately forty-five miners.","Injury"
"On the first day, both forces mistakenly believed they were attacking their opponent's fleet carriers, but were actually attacking other units, with the U.S. sinking the Japanese light carrier while the Japanese sank a U.S. destroyer and heavily damaged a fleet oiler (which was later scuttled).","Attack"
"It is considered the deadliest earthquake to hit South Asia since the 1935 Quetta earthquake.","Attack"
"This caused concerns of Sino-Indian clashes.","Attack"
"Nearly fifty Mosquitos carried out nuisance raids and from No.","Attack"
"The garrison's warriors allegedly used passwords to help them determine friend from foe, while their foes killed many of their own in the confusion.","Injury"
"The event was created in 2004 and was originally held annually in December.","None"
"With a volumetric flow rate that temporarily equaled the average flow rate of the Mississippi River, the flood killed more than 2,200 people and accounted for $17 million of damage (about $ in dollars).","Disaster"
